2 12 cost_x, cost_check ( 2 2 8 2 1 1 ) x-i 0
2 14 cost_x, cost_check ( 2 2 9 2 1 1 ) x-i 0
2 16 cost_x, cost_check ( 2 2 10 2 1 1 ) x-i 0
0 3 cost_x, cost_check ( 2 3 3 2 1 1 ) x-i 2
1 4 cost_x, cost_check ( 2 3 4 2 1 1 ) x-i 1
2 5 cost_x, cost_check ( 2 3 5 2 1 1 ) x-i 0
2 7 cost_x, cost_check ( 2 3 6 2 1 1 ) x-i 0
2 9 cost_x, cost_check ( 2 3 7 2 1 1 ) x-i 0
2 11 cost_x, cost_check ( 2 3 8 2 1 1 ) x-i 0
2 13 cost_x, cost_check ( 2 3 9 2 1 1 ) x-i 0
2 15 cost_x, cost_check ( 2 3 10 2 1 1 ) x-i 0
0 4 cost_x, cost_check ( 2 4 4 2 1 1 ) x-i 2
1 5 cost_x, cost_check ( 2 4 5 2 1 1 ) x-i 1
2 6 cost_x, cost_check ( 2 4 6 2 1 1 ) x-i 0
2 8 cost_x, cost_check ( 2 4 7 2 1 1 ) x-i 0
2 10 cost_x, cost_check ( 2 4 8 2 1 1 ) x-i 0
2 12 cost_x, cost_check ( 2 4 9 2 1 1 ) x-i 0
2 14 cost_x, cost_check ( 2 4 10 2 1 1 ) x-i 0
0 5 cost_x, cost_check ( 2 5 5 2 1 1 ) x-i 2
1 6 cost_x, cost_check ( 2 5 6 2 1 1 ) x-i 1
2 7 cost_x, cost_check ( 2 5 7 2 1 1 ) x-i 0
2 9 cost_x, cost_check ( 2 5 8 2 1 1 ) x-i 0
2 11 cost_x, cost_check ( 2 5 9 2 1 1 ) x-i 0
2 13 cost_x, cost_check ( 2 5 10 2 1 1 ) x-i 0
0 6 cost_x, cost_check ( 2 6 6 2 1 1 ) x-i 2
1 7 cost_x, cost_check ( 2 6 7 2 1 1 ) x-i 1
2 8 cost_x, cost_check ( 2 6 8 2 1 1 ) x-i 0
2 10 cost_x, cost_check ( 2 6 9 2 1 1 ) x-i 0
2 12 cost_x, cost_check ( 2 6 10 2 1 1 ) x-i 0
0 7 cost_x, cost_check ( 2 7 7 2 1 1 ) x-i 2
1 8 cost_x, cost_check ( 2 7 8 2 1 1 ) x-i 1
2 9 cost_x, cost_check ( 2 7 9 2 1 1 ) x-i 0
2 11 cost_x, cost_check ( 2 7 10 2 1 1 ) x-i 0
0 8 cost_x, cost_check ( 2 8 8 2 1 1 ) x-i 2
1 9 cost_x, cost_check ( 2 8 9 2 1 1 ) x-i 1
2 10 cost_x, cost_check ( 2 8 10 2 1 1 ) x-i 0
0 9 cost_x, cost_check ( 2 9 9 2 1 1 ) x-i 2
1 10 cost_x, cost_check ( 2 9 10 2 1 1 ) x-i 1
0 10 cost_x, cost_check ( 2 10 10 2 1 1 ) x-i 2
0 3 cost_x, cost_check ( 3 3 3 2 1 1 ) x-i 3
1 4 cost_x, cost_check ( 3 3 4 2 1 1 ) x-i 2
2 5 cost_x, cost_check ( 3 3 5 2 1 1 ) x-i 1
3 6 cost_x, cost_check ( 3 3 6 2 1 1 ) x-i 0
3 8 cost_x, cost_check ( 3 3 7 2 1 1 ) x-i 0
3 10 cost_x, cost_check ( 3 3 8 2 1 1 ) x-i 0
3 12 cost_x, cost_check ( 3 3 9 2 1 1 ) x-i 0
3 14 cost_x, cost_check ( 3 3 10 2 1 1 ) x-i 0
0 4 cost_x, cost_check ( 3 4 4 2 1 1 ) x-i 3
1 5 cost_x, cost_check ( 3 4 5 2 1 1 ) x-i 2
2 6 cost_x, cost_check ( 3 4 6 2 1 1 ) x-i 1
3 7 cost_x, cost_check ( 3 4 7 2 1 1 ) x-i 0
3 9 cost_x, cost_check ( 3 4 8 2 1 1 ) x-i 0
3 11 cost_x, cost_check ( 3 4 9 2 1 1 ) x-i 0
3 13 cost_x, cost_check ( 3 4 10 2 1 1 ) x-i 0
0 5 cost_x, cost_check ( 3 5 5 2 1 1 ) x-i 3
1 6 cost_x, cost_check ( 3 5 6 2 1 1 ) x-i 2
2 7 cost_x, cost_check ( 3 5 7 2 1 1 ) x-i 1
3 8 cost_x, cost_check ( 3 5 8 2 1 1 ) x-i 0
3 10 cost_x, cost_check ( 3 5 9 2 1 1 ) x-i 0
3 12 cost_x, cost_check ( 3 5 10 2 1 1 ) x-i 0
0 6 cost_x, cost_check ( 3 6 6 2 1 1 ) x-i 3
1 7 cost_x, cost_check ( 3 6 7 2 1 1 ) x-i 2
2 8 cost_x, cost_check ( 3 6 8 2 1 1 ) x-i 1
3 9 cost_x, cost_check ( 3 6 9 2 1 1 ) x-i 0
3 11 cost_x, cost_check ( 3 6 10 2 1 1 ) x-i 0
0 7 cost_x, cost_check ( 3 7 7 2 1 1 ) x-i 3
1 8 cost_x, cost_check ( 3 7 8 2 1 1 ) x-i 2
2 9 cost_x, cost_check ( 3 7 9 2 1 1 ) x-i 1
3 10 cost_x, cost_check ( 3 7 10 2 1 1 ) x-i 0
0 8 cost_x, cost_check ( 3 8 8 2 1 1 ) x-i 3
1 9 cost_x, cost_check ( 3 8 9 2 1 1 ) x-i 2
2 10 cost_x, cost_check ( 3 8 10 2 1 1 ) x-i 1
0 9 cost_x, cost_check ( 3 9 9 2 1 1 ) x-i 3
1 10 cost_x, cost_check ( 3 9 10 2 1 1 ) x-i 2
0 10 cost_x, cost_check ( 3 10 10 2 1 1 ) x-i 3
0 4 cost_x, cost_check ( 4 4 4 2 1 1 ) x-i 4
1 5 cost_x, cost_check ( 4 4 5 2 1 1 ) x-i 3
2 6 cost_x, cost_check ( 4 4 6 2 1 1 ) x-i 2
3 7 cost_x, cost_check ( 4 4 7 2 1 1 ) x-i 1
4 8 cost_x, cost_check ( 4 4 8 2 1 1 ) x-i 0
4 10 cost_x, cost_check ( 4 4 9 2 1 1 ) x-i 0
4 12 cost_x, cost_check ( 4 4 10 2 1 1 ) x-i 0
0 5 cost_x, cost_check ( 4 5 5 2 1 1 ) x-i 4
1 6 cost_x, cost_check ( 4 5 6 2 1 1 ) x-i 3
2 7 cost_x, cost_check ( 4 5 7 2 1 1 ) x-i 2
3 8 cost_x, cost_check ( 4 5 8 2 1 1 ) x-i 1
4 9 cost_x, cost_check ( 4 5 9 2 1 1 ) x-i 0
4 11 cost_x, cost_check ( 4 5 10 2 1 1 ) x-i 0
0 6 cost_x, cost_check ( 4 6 6 2 1 1 ) x-i 4
1 7 cost_x, cost_check ( 4 6 7 2 1 1 ) x-i 3
2 8 cost_x, cost_check ( 4 6 8 2 1 1 ) x-i 2
3 9 cost_x, cost_check ( 4 6 9 2 1 1 ) x-i 1
4 10 cost_x, cost_check ( 4 6 10 2 1 1 ) x-i 0
0 7 cost_x, cost_check ( 4 7 7 2 1 1 ) x-i 4
1 8 cost_x, cost_check ( 4 7 8 2 1 1 ) x-i 3
2 9 cost_x, cost_check ( 4 7 9 2 1 1 ) x-i 2
3 10 cost_x, cost_check ( 4 7 10 2 1 1 ) x-i 1
0 8 cost_x, cost_check ( 4 8 8 2 1 1 ) x-i 4
1 9 cost_x, cost_check ( 4 8 9 2 1 1 ) x-i 3
2 10 cost_x, cost_check ( 4 8 10 2 1 1 ) x-i 2
0 9 cost_x, cost_check ( 4 9 9 2 1 1 ) x-i 4
1 10 cost_x, cost_check ( 4 9 10 2 1 1 ) x-i 3
0 10 cost_x, cost_check ( 4 10 10 2 1 1 ) x-i 4
0 5 cost_x, cost_check ( 5 5 5 2 1 1 ) x-i 5
1 6 cost_x, cost_check ( 5 5 6 2 1 1 ) x-i 4
2 7 cost_x, cost_check ( 5 5 7 2 1 1 ) x-i 3
3 8 cost_x, cost_check ( 5 5 8 2 1 1 ) x-i 2
4 9 cost_x, cost_check ( 5 5 9 2 1 1 ) x-i 1
5 10 cost_x, cost_check ( 5 5 10 2 1 1 ) x-i 0
0 6 cost_x, cost_check ( 5 6 6 2 1 1 ) x-i 5
1 7 cost_x, cost_check ( 5 6 7 2 1 1 ) x-i 4
2 8 cost_x, cost_check ( 5 6 8 2 1 1 ) x-i 3
3 9 cost_x, cost_check ( 5 6 9 2 1 1 ) x-i 2
4 10 cost_x, cost_check ( 5 6 10 2 1 1 ) x-i 1
0 7 cost_x, cost_check ( 5 7 7 2 1 1 ) x-i 5
1 8 cost_x, cost_check ( 5 7 8 2 1 1 ) x-i 4
2 9 cost_x, cost_check ( 5 7 9 2 1 1 ) x-i 3
3 10 cost_x, cost_check ( 5 7 10 2 1 1 ) x-i 2
0 8 cost_x, cost_check ( 5 8 8 2 1 1 ) x-i 5
1 9 cost_x, cost_check ( 5 8 9 2 1 1 ) x-i 4
2 10 cost_x, cost_check ( 5 8 10 2 1 1 ) x-i 3
0 9 cost_x, cost_check ( 5 9 9 2 1 1 ) x-i 5
1 10 cost_x, cost_check ( 5 9 10 2 1 1 ) x-i 4
0 10 cost_x, cost_check ( 5 10 10 2 1 1 ) x-i 5
0 6 cost_x, cost_check ( 6 6 6 2 1 1 ) x-i 6
1 7 cost_x, cost_check ( 6 6 7 2 1 1 ) x-i 5
2 8 cost_x, cost_check ( 6 6 8 2 1 1 ) x-i 4
3 9 cost_x, cost_check ( 6 6 9 2 1 1 ) x-i 3
4 10 cost_x, cost_check ( 6 6 10 2 1 1 ) x-i 2
0 7 cost_x, cost_check ( 6 7 7 2 1 1 ) x-i 6
1 8 cost_x, cost_check ( 6 7 8 2 1 1 ) x-i 5
2 9 cost_x, cost_check ( 6 7 9 2 1 1 ) x-i 4
3 10 cost_x, cost_check ( 6 7 10 2 1 1 ) x-i 3
0 8 cost_x, cost_check ( 6 8 8 2 1 1 ) x-i 6
1 9 cost_x, cost_check ( 6 8 9 2 1 1 ) x-i 5
2 10 cost_x, cost_check ( 6 8 10 2 1 1 ) x-i 4
0 9 cost_x, cost_check ( 6 9 9 2 1 1 ) x-i 6
1 10 cost_x, cost_check ( 6 9 10 2 1 1 ) x-i 5
0 10 cost_x, cost_check ( 6 10 10 2 1 1 ) x-i 6
0 7 cost_x, cost_check ( 7 7 7 2 1 1 ) x-i 7
1 8 cost_x, cost_check ( 7 7 8 2 1 1 ) x-i 6
2 9 cost_x, cost_check ( 7 7 9 2 1 1 ) x-i 5
3 10 cost_x, cost_check ( 7 7 10 2 1 1 ) x-i 4
0 8 cost_x, cost_check ( 7 8 8 2 1 1 ) x-i 7
1 9 cost_x, cost_check ( 7 8 9 2 1 1 ) x-i 6
2 10 cost_x, cost_check ( 7 8 10 2 1 1 ) x-i 5
0 9 cost_x, cost_check ( 7 9 9 2 1 1 ) x-i 7
1 10 cost_x, cost_check ( 7 9 10 2 1 1 ) x-i 6
0 10 cost_x, cost_check ( 7 10 10 2 1 1 ) x-i 7
0 8 cost_x, cost_check ( 8 8 8 2 1 1 ) x-i 8
1 9 cost_x, cost_check ( 8 8 9 2 1 1 ) x-i 7
2 10 cost_x, cost_check ( 8 8 10 2 1 1 ) x-i 6
0 9 cost_x, cost_check ( 8 9 9 2 1 1 ) x-i 8
1 10 cost_x, cost_check ( 8 9 10 2 1 1 ) x-i 7
0 10 cost_x, cost_check ( 8 10 10 2 1 1 ) x-i 8
0 9 cost_x, cost_check ( 9 9 9 2 1 1 ) x-i 9
1 10 cost_x, cost_check ( 9 9 10 2 1 1 ) x-i 8
0 10 cost_x, cost_check ( 9 10 10 2 1 1 ) x-i 9
0 10 cost_x, cost_check ( 10 10 10 2 1 1 ) x-i 10
0 ( 0 0 0 )
2 ( 0 0 1 )
4 ( 0 0 2 )
6 ( 0 0 3 )
8 ( 0 0 4 )
10 ( 0 0 5 )
12 ( 0 0 6 )
14 ( 0 0 7 )
16 ( 0 0 8 )
18 ( 0 0 9 )
20 ( 0 0 10 )

1 ( 0 1 1 )
3 ( 0 1 2 )
5 ( 0 1 3 )
7 ( 0 1 4 )
9 ( 0 1 5 )
11 ( 0 1 6 )
13 ( 0 1 7 )
15 ( 0 1 8 )
17 ( 0 1 9 )
19 ( 0 1 10 )

2 ( 0 2 2 )
4 ( 0 2 3 )
6 ( 0 2 4 )
8 ( 0 2 5 )
10 ( 0 2 6 )
12 ( 0 2 7 )
14 ( 0 2 8 )
16 ( 0 2 9 )
18 ( 0 2 10 )

3 ( 0 3 3 )
5 ( 0 3 4 )
7 ( 0 3 5 )
9 ( 0 3 6 )
11 ( 0 3 7 )
13 ( 0 3 8 )
15 ( 0 3 9 )
17 ( 0 3 10 )

4 ( 0 4 4 )
6 ( 0 4 5 )
8 ( 0 4 6 )
10 ( 0 4 7 )
12 ( 0 4 8 )
14 ( 0 4 9 )
16 ( 0 4 10 )

5 ( 0 5 5 )
7 ( 0 5 6 )
9 ( 0 5 7 )
11 ( 0 5 8 )
13 ( 0 5 9 )
15 ( 0 5 10 )

6 ( 0 6 6 )
8 ( 0 6 7 )
10 ( 0 6 8 )
12 ( 0 6 9 )
14 ( 0 6 10 )

7 ( 0 7 7 )
9 ( 0 7 8 )
11 ( 0 7 9 )
13 ( 0 7 10 )

8 ( 0 8 8 )
10 ( 0 8 9 )
12 ( 0 8 10 )

9 ( 0 9 9 )
11 ( 0 9 10 )

10 ( 0 10 10 )

 
1 ( 1 1 1 )
2 ( 1 1 2 )
4 ( 1 1 3 )
6 ( 1 1 4 )
8 ( 1 1 5 )
10 ( 1 1 6 )
12 ( 1 1 7 )
14 ( 1 1 8 )
16 ( 1 1 9 )
18 ( 1 1 10 )

2 ( 1 2 2 )
3 ( 1 2 3 )
5 ( 1 2 4 )
7 ( 1 2 5 )
9 ( 1 2 6 )
11 ( 1 2 7 )
13 ( 1 2 8 )
15 ( 1 2 9 )
17 ( 1 2 10 )

3 ( 1 3 3 )
4 ( 1 3 4 )
